latitude,longitude,DepthInMeters,ObservationDate
28.0,-92.78,106,5/1/1957
28.0,-92.78,106,5/1/1957
29.17,-88.03,605,1963
27.75,-91.21,440,1964
29.2,-88.05,523,7/25/1962
28.1,-91.32,116,9/12/1962
28.092,-92.63,93,9/14/1962
28.1,-91.32,116,9/12/1962
28.1,-91.32,116,9/12/1962
25.68,-84.33,158,3/30/1960
24.92,-84.28,448,6/19/1956
27.73,-85.15,465,9/29/1951
28.0,-93.5,91,1/17/1964
28.917,-85.12,53,3/7/1953
28.45,-92.23,53,11/13/1938
24.85,-84.15,348,7/7/1955
29.28,-87.68,439,2/18/1956
28.13,-91.4,102,9/12/1962
28.142,-94.33,58,9/16/1962
27.1,-89.22,2104,7/29/1959
28.8,-89.43,82,5/4/1956
28.142,-94.33,58,9/16/1962
26.88,-89.93,2423,7/27/1959
25.683,-84.33,158,3/30/1960
28.1,-91.32,116,9/12/1962
27.95,-94.92,91,5/8/1956
27.95,-94.92,91,5/8/1956
29.225,-88.21,124,6/1/1960
28.217,-90.42,91,5/4/1956
27.75,-91.21,421,2/23/1964
25.68,-91.03,3178,7/25/1959
25.38,-96.23,978,1/19/1970
26.57,-89.88,2651,7/28/1959
24.857,-96.01,1668,1/24/1970
25.38,-96.23,978,1/19/1970
29.4,-88.02,64,1885-03-04
29.4,-88.07,59,1885-03-04
25.68,-84.33,158,3/30/1960
26.43,-84.25,307,6/28/1976
27.058,-84.23,121,6/28/1976
26.43,-84.25,307,6/28/1976
27.873,-91.85,175,4/11/1976
26.58,-96.42,151,9/27/1962
29.283,-88.27,84,3/26/1958
24.85,-84.15,348,7/7/1955
27.533,-93.03,778,4/11/1952
25.0,-84.0,128,7/14/1965
26.717,-96.72,65,9/27/1962
29.28,-88.27,154,3/26/1958
25.2,-84.08,137,3/19/1954
28.0,-94.8,89,10/1/1957
27.952,-91.96,99,4/11/1976
27.873,-91.85,175,4/11/1976
25.55,-84.35,185,1878
29.27,-87.82,366,2/26/1955
29.23,-88.33,88,2/2/1961
27.07,-84.23,121,6/28/1976
26.43,-84.25,307,6/28/1976
26.43,-84.25,168,6/28/1976
27.07,-84.23,121,6/28/1976
26.43,-84.25,168,6/28/1976
27.07,-84.23,121,6/23/1976
26.43,-84.25,168,6/28/1976
26.43,-84.25,168,6/28/1976
27.95,-84.75,189,7/1/1976
25.0,-84.0,128,7/14/1965
25.683,-84.33,158,3/30/1960
29.12,-88.08,732,4/27/1961
27.95,-84.8,189,7/1/1976
28.97,-88.18,1143,6/26/1958
28.717,-87.24,960,1885-03-13
29.03,-88.15,1097,6/3/1959
29.12,-88.08,732,4/27/1961
25.0,-84.0,128,7/14/1965
27.75,-94.18,300,1/18/1964
28.03,-90.25,366,9/20/1955
25.0,-84.0,128,7/14/1965
29.283,-88.27,84,3/26/1958
29.27,-87.82,366,2/26/1955
25.747,-84.35,159,7/26/1981
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
25.747,-84.35,159,2/7/1982
26.278,-84.07,137,2/6/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,8/2/1981
26.278,-84.07,137,7/25/1981
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/2/1981
25.275,-84.25,159,8/3/1981
26.278,-84.07,137,2/6/1982
25.747,-84.35,159,2/7/1982
25.275,-84.25,159,2/7/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
25.275,-84.25,159,2/10/1982
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,7/25/1981
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
26.278,-84.07,137,2/6/1982
25.747,-84.35,159,2/7/1982
26.278,-84.07,137,7/25/1981
25.2,-84.08,137,3/19/1954
