decimallongitude,decimallatitude,date_year,scientificname,depth
79.5,7.71,1987.0,Montipora foliosa,
72.62,0.071,1987.0,Montipora foliosa,
55.18,-21.16,1987.0,Montipora foliosa,
57.72,-19.93,1987.0,Montipora foliosa,
63.43,-19.75,1987.0,Montipora foliosa,
96.87,-12.159,1987.0,Montipora foliosa,
93.36,8.11,1987.0,Montipora foliosa,
55.34,-4.53,1987.0,Montipora foliosa,
71.3,-6.52,1987.0,Montipora foliosa,
71.3,-6.52,1987.0,Montipora foliosa,
96.817,-11.82966,1989.0,Montipora foliosa,
96.83823,-12.08743,1989.0,Montipora foliosa,
96.88246,-12.09598,1989.0,Montipora foliosa,
124.26278,24.40233,1994.0,Montipora foliosa,
124.25611,24.36737,1994.0,Montipora foliosa,
124.05142,24.30542,1998.0,Montipora foliosa,
142.19414,27.10533,1999.0,Montipora foliosa,
124.02436,24.25111,1994.0,Montipora foliosa,
123.99286,24.23681,1994.0,Montipora foliosa,
125.30292,24.91646,2004.0,Montipora foliosa,
123.96053,24.31136,2005.0,Montipora foliosa,
142.17586,26.61786,1969.0,Montipora foliosa,
123.95808,24.29681,2006.0,Montipora foliosa,
124.00847,24.21263,2006.0,Montipora foliosa,
124.16026,24.45494,1985.0,Montipora foliosa,
124.12978,24.48075,1986.0,Montipora foliosa,
124.25417,24.36261,1986.0,Montipora foliosa,
126.78333,26.16667,1932.0,Montipora foliosa,
123.99608,24.23343,1990.0,Montipora foliosa,
123.99608,24.23343,1991.0,Montipora foliosa,
123.98631,24.25719,1990.0,Montipora foliosa,
129.20097,29.13773,1967.0,Montipora foliosa,
129.0337,27.74461,1966.0,Montipora foliosa,
124.26281,24.42221,1989.0,Montipora foliosa,
123.99236,24.23754,1991.0,Montipora foliosa,
123.83333,24.16667,1930.0,Montipora foliosa,
123.98786,24.23964,1990.0,Montipora foliosa,
124.20978,24.35051,2002.0,Montipora foliosa,
123.67956,24.31464,1989.0,Montipora foliosa,
124.15928,24.45679,1989.0,Montipora foliosa,
124.13517,24.4808,1989.0,Montipora foliosa,
142.16058,26.63845,1969.0,Montipora foliosa,
142.19947,27.12029,1968.0,Montipora foliosa,
124.07375,24.33122,2005.0,Montipora foliosa,
142.14781,26.68526,1969.0,Montipora foliosa,
142.12681,26.59967,1969.0,Montipora foliosa,
127.34436,26.14726,1973.0,Montipora foliosa,
127.33567,26.16255,1973.0,Montipora foliosa,
129.20097,29.13773,1967.0,Montipora foliosa,
129.32561,29.21815,1967.0,Montipora foliosa,
129.71156,28.42263,1967.0,Montipora foliosa,
129.27731,28.14888,1967.0,Montipora foliosa,
124.21161,24.46104,1995.0,Montipora foliosa,
123.99286,24.23681,1993.0,Montipora foliosa,
124.25872,24.39688,1994.0,Montipora foliosa,
124.25656,24.39364,1994.0,Montipora foliosa,
124.25783,24.39205,1994.0,Montipora foliosa,
124.25511,24.37281,1994.0,Montipora foliosa,
124.256,24.37072,1994.0,Montipora foliosa,
124.05142,24.30542,1998.0,Montipora foliosa,
124.03175,24.25908,1998.0,Montipora foliosa,
124.01075,24.21258,1998.0,Montipora foliosa,
128.44504,27.06198,1967.0,Montipora foliosa,
124.00247,24.30917,2006.0,Montipora foliosa,
129.45226,28.40855,1998.0,Montipora foliosa,
128.46394,27.02245,1967.0,Montipora foliosa,
128.45463,27.01759,1967.0,Montipora foliosa,
125.45769,24.73202,2010.0,Montipora foliosa,
123.94477,24.22578,1973.0,Montipora foliosa,
127.86065,26.30592,1975.0,Montipora foliosa,
124.25775,24.38285,1985.0,Montipora foliosa,
125.33,24.71806,2013.0,Montipora foliosa,
124.20818,24.46006,1995.0,Montipora foliosa,
124.18683,24.45714,1986.0,Montipora foliosa,
127.85967,26.62876,1986.0,Montipora foliosa,
142.19462,27.10521,1986.0,Montipora foliosa,
124.15586,24.28799,2006.0,Montipora foliosa,
124.26179,24.40534,1989.0,Montipora foliosa,
124.26131,24.4101,1989.0,Montipora foliosa,
124.26333,24.41009,1989.0,Montipora foliosa,
124.26144,24.41466,1989.0,Montipora foliosa,
142.19369,27.08436,1990.0,Montipora foliosa,
124.2642,24.41842,1989.0,Montipora foliosa,
142.2,27.08333,1931.0,Montipora foliosa,
123.99608,24.23343,1990.0,Montipora foliosa,
123.67309,24.31942,1992.0,Montipora foliosa,
127.23034,26.16415,1992.0,Montipora foliosa,
129.03475,27.77488,1992.0,Montipora foliosa,
142.15996,26.63362,1931.0,Montipora foliosa,
124.12672,24.35542,1989.0,Montipora foliosa,
124.2583,24.42185,1989.0,Montipora foliosa,
124.26122,24.40836,1989.0,Montipora foliosa,
124.25361,24.36327,1989.0,Montipora foliosa,
124.25289,24.35952,1989.0,Montipora foliosa,
124.21767,24.34787,1989.0,Montipora foliosa,
123.99608,24.23343,1990.0,Montipora foliosa,
123.99608,24.23343,1991.0,Montipora foliosa,
124.03292,24.22583,1991.0,Montipora foliosa,
123.99236,24.23754,1991.0,Montipora foliosa,
123.150001526,9.57166957855,1978.0,Montipora foliosa,13.5
165.43888855,11.6277799606,1947.0,Montipora foliosa,36.5
44.216667,-20.383333,1766.0,Montipora foliosa,
93.736115,7.237777,1766.0,Montipora foliosa,
79.0,8.5,1766.0,Montipora foliosa,
57.3575,-20.380833,1766.0,Montipora foliosa,
63.420277,-19.678333,1766.0,Montipora foliosa,
55.230556,-20.615278,1766.0,Montipora foliosa,
69.5,22.6,1766.0,Montipora foliosa,
21.116667,-55.533333,1766.0,Montipora foliosa,
93.0,10.0,1766.0,Montipora foliosa,
79.0,8.5,1766.0,Montipora foliosa,
72.5,11.0,1766.0,Montipora foliosa,
69.5,22.6,1766.0,Montipora foliosa,
165.43888855,11.6277799606,1947.0,Montipora foliosa,19.5
120.275001526,14.0625,1908.0,Montipora foliosa,20.0
123.150001526,9.57166957855,1978.0,Montipora foliosa,13.5
103.0,5.78299999237,1977.0,Montipora foliosa,12.0
103.0,5.78299999237,1977.0,Montipora foliosa,12.0
104.155,2.825,2004.0,Montipora foliosa,6.0
118.25,-8.2,1984.0,Montipora foliosa,
121.1,-6.4,1984.0,Montipora foliosa,
120.5,-6.3,1984.0,Montipora foliosa,
119.17,-4.8,1984.0,Montipora foliosa,
119.7,-8.5,1984.0,Montipora foliosa,
129.875,-4.534719944,1975.0,Montipora foliosa,3.0
119.271667,-5.033333,1980.0,Montipora foliosa,2.0
119.078056,-4.978889,1980.0,Montipora foliosa,2.0
119.343889,-5.123611,1979.0,Montipora foliosa,2.0
119.285556,-5.104722,1979.0,Montipora foliosa,2.0
119.096389,-5.031667,1980.0,Montipora foliosa,2.0
119.343889,-5.123611,1979.0,Montipora foliosa,4.0
119.343056,-4.958056,1980.0,Montipora foliosa,0.0
119.343056,-4.958056,1980.0,Montipora foliosa,8.0
119.343056,-4.958056,1980.0,Montipora foliosa,1.0
119.328889,-5.0475,1980.0,Montipora foliosa,2.0
119.285556,-5.104722,1979.0,Montipora foliosa,0.0
145.17999,-14.677,2008.0,Montipora foliosa,
145.44701,-14.6988,2005.0,Montipora foliosa,
37.90620041,-0.023559101,1992.0,Montipora foliosa,
35.2000007629,-24.3500003815,,Montipora foliosa,
120.949996948,13.5200004578,,Montipora foliosa,
126.5,25.5,,Montipora foliosa,
120.949996948,13.5200004578,,Montipora foliosa,
120.0,8.0,,Montipora foliosa,
113.75,-22.0,,Montipora foliosa,3.0
114.5,15.8500003815,,Montipora foliosa,27.0
114.5,15.8500003815,,Montipora foliosa,21.0
165.440002441,11.6300001144,,Montipora foliosa,20.0
93.7600021362,7.21000003815,,Montipora foliosa,
119.26499939,-17.3500003815,,Montipora foliosa,25.5
93.7600021362,7.21000003815,,Montipora foliosa,
122.069999695,6.90000009537,,Montipora foliosa,
113.75,-22.0,,Montipora foliosa,3.0
-162.399993896,5.80000019073,,Montipora foliosa,
-162.399993896,5.80000019073,,Montipora foliosa,
123.029998779,-12.279999733,,Montipora foliosa,
114.5,15.8500003815,,Montipora foliosa,27.0
179.429992676,-17.8500003815,,Montipora foliosa,
33.5,-25.3199996948,,Montipora foliosa,
73.25,3.75,,Montipora foliosa,
119.26499939,-17.3500003815,,Montipora foliosa,25.5
79.0899963379,9.42000007629,,Montipora foliosa,
119.26499939,-17.3500003815,,Montipora foliosa,25.5
165.330001831,11.6990003586,,Montipora foliosa,10.0
119.26499939,-17.3500003815,,Montipora foliosa,25.5
122.040000916,6.88000011444,,Montipora foliosa,
119.26499939,-17.3500003815,,Montipora foliosa,25.5
123.5,11.5,,Montipora foliosa,
113.790000916,-28.6350002289,,Montipora foliosa,
122.069999695,6.90000009537,,Montipora foliosa,
119.26499939,-17.3500003815,,Montipora foliosa,25.5
165.440002441,11.6300001144,,Montipora foliosa,10.5
119.26499939,-17.3500003815,,Montipora foliosa,25.5
79.0,8.5,,Montipora foliosa,
123.029998779,-12.279999733,,Montipora foliosa,
93.7600021362,7.21000003815,,Montipora foliosa,
-176.0,0.800000011921,,Montipora foliosa,
113.699996948,-28.4699993134,,Montipora foliosa,
165.330001831,11.6990003586,,Montipora foliosa,30.0
78.8867,8.9532,2006.0,Montipora foliosa,
93.736114502,7.23777723312,1766.0,Montipora foliosa,
63.4202766418,-19.6783332825,1766.0,Montipora foliosa,
69.5,22.6000003815,1766.0,Montipora foliosa,
44.2166671753,-20.3833332062,1766.0,Montipora foliosa,
55.230556488,-20.615278244,1766.0,Montipora foliosa,
21.1166667938,-55.5333328247,1766.0,Montipora foliosa,
57.3574981689,-20.3808326721,1766.0,Montipora foliosa,
69.5,22.6000003815,1766.0,Montipora foliosa,
93.0,10.0,1766.0,Montipora foliosa,
79.0,8.5,1766.0,Montipora foliosa,
79.0,8.5,1766.0,Montipora foliosa,
72.5,11.0,1766.0,Montipora foliosa,
113.925,-21.9555,1980.0,Montipora foliosa,1.5
113.7694,-22.3666,1977.0,Montipora foliosa,1.0
120.75,21.91667,1991.0,Montipora foliosa,
146.59,-18.68,,Montipora foliosa,
143.167,-9.867,,Montipora foliosa,
143.808,-12.132,,Montipora foliosa,
145.623,-14.597,,Montipora foliosa,
143.803,-12.119,,Montipora foliosa,
146.56,-18.661,,Montipora foliosa,
143.473,-11.914,,Montipora foliosa,
143.942,-13.169,,Montipora foliosa,
151.44,-17.25,,Montipora foliosa,
146.432,-18.814,,Montipora foliosa,
152.416,-21.5,,Montipora foliosa,
146.69,-18.73,,Montipora foliosa,
144.8168,-14.4255,,Montipora foliosa,
152.181,-23.627,,Montipora foliosa,
152.155,-23.635,,Montipora foliosa,
144.028,-11.694,,Montipora foliosa,
123.09,-12.26,,Montipora foliosa,
146.522,-18.774,,Montipora foliosa,
144.964,-14.524,,Montipora foliosa,
150.087,-20.951,,Montipora foliosa,
153.486,-26.978,,Montipora foliosa,
144.066,-9.912,,Montipora foliosa,
145.657,-14.693,,Montipora foliosa,
146.49,-18.56,,Montipora foliosa,
146.511,-18.659,,Montipora foliosa,
